TITLE,lat,long
Rock Harbor Visitor Center,48.14575,-88.486104
Daisy Farm Campground,48.092001,-88.594632
East Chicken Bone Lake Campground,48.072992,-88.69789
Hatchet Lake Campground,48.02162,-88.847368
South Lake Desor Campground,47.971519,-88.971486
Washington Creek Campground,47.917096,-89.15256
Windigo Visitor Center,47.911657,-89.157115
Feldtmann Lake Campground,47.84833,-89.182335
Rainbow Cove Trail,47.842137,-89.192602
North Lake Desor Campground,47.980857,-88.994253
West  Chicken Bone Lake Campground,48.063825,-88.724084
